ABADO N045.39.21.000 E005.17.35.000
ARSOM N046.08.14.000 E003.25.11.000
ARSUK N048.46.09.200 E000.41.04.200
ARTAX N046.15.27.000 E001.47.00.000
ARTIV N048.52.02.000 W001.52.04.000
ARVOL N050.32.45.000 E003.29.49.000
ARZIP N047.55.16.000 W006.07.35.000
ASBAR N050.23.36.000 E003.21.53.000
ASGUN N049.11.05.000 E003.25.40.000
ASKAN N045.02.40.000 W001.02.23.000
ASLEG N045.45.09.000 E006.09.15.000
ASRUL N048.43.06.200 E003.50.42.100
ASSEQ N046.13.23.600 E006.30.56.600
ASVOK N048.57.33.500 E001.29.42.800
ATGAL N048.57.34.700 W000.15.15.700
ATGEB N048.41.09.100 W001.39.18.400
ATGIV N049.58.35.500 E000.53.11.200
ATMAD N045.13.09.000 E007.00.09.000
ATMOS N049.26.20.300 W000.03.31.700
ATNIS N048.23.29.000 W001.27.43.000
ATNUL N048.35.05.000 E006.41.59.000
ATREX N049.47.07.000 E002.22.07.000
ATRID N046.50.55.000 E003.24.31.000
ATSUP N045.44.33.900 E002.57.09.700
AVLON N047.33.36.000 E003.48.48.000
AZFIC N046.34.07.700 W003.05.40.600
BABAT N046.54.57.700 W002.37.27.000
BABOG N047.30.51.000 E001.22.09.900
BADGI N049.50.26.000 E002.40.53.600
BADUR N048.42.39.000 W002.57.04.000
BAGAD N047.35.00.000 W002.52.52.000
BAGAP N045.44.18.000 E005.55.45.000
BAGBI N046.48.52.000 E004.35.48.000
BAGEK N049.30.11.300 W000.15.37.000
BAGIB N046.31.07.000 W002.09.45.400
BAKIX N048.20.13.200 E007.03.10.400
BAKNO N046.30.00.000 E003.31.53.300
BAKUL N047.20.49.000 W001.38.17.000
BALAN N046.30.58.000 E001.02.00.000
BALIV N047.40.12.500 E001.30.41.700
BALMU N047.50.48.200 E004.38.22.900
BALNI N047.37.05.000 W001.40.26.000
BALSI N045.28.38.600 E005.57.38.800
BAMES N048.58.31.000 E001.29.10.000
BAMEV N047.50.07.200 E007.23.06.200
BANEK N045.46.37.000 E005.52.10.000
BANKO N045.49.12.000 E007.03.17.000
BANOX N048.34.27.100 E001.30.19.800
BANTI N049.55.27.000 E001.37.34.000
BANUS N045.19.46.600 E004.28.38.100
BARAN N045.45.19.400 E005.12.20.700
BARAX N047.32.28.800 E001.32.19.100
BARLI N050.25.51.100 E002.46.19.700
BASIK N048.57.13.000 W002.57.04.000
BATAG N048.49.22.100 E003.22.20.200
BAVOL N049.06.20.000 E003.39.42.000
BAXIR N048.47.26.000 E003.52.11.700
BAZOS N049.30.55.300 E001.55.31.200
BEBIX N045.56.57.000 E001.23.59.000
BEDVA N048.06.52.400 E003.54.01.400
BEGAR N047.54.30.000 E007.35.00.000
BEKOS N048.48.42.000 E003.32.53.000
BEKRI N046.08.38.600 E004.25.41.600
BELDI N049.57.20.000 E002.35.04.000
BELEP N045.47.30.000 E004.07.54.000
BELOB N050.42.34.000 E003.12.52.000
BELUS N045.40.31.000 E005.35.38.000
BELVU N045.57.09.200 E004.02.42.000
BEMAX N046.09.56.000 W000.45.35.000
BENAR N048.15.11.000 E000.44.40.000
BEPMI N046.09.08.000 E002.30.00.000
BERAD N048.18.07.000 W004.03.42.000
BERNO N049.05.00.000 E000.38.00.000
BERUG N048.37.17.000 E006.55.54.800
BETOB N046.34.48.000 W000.15.00.000
BETOV N049.40.13.200 E001.13.54.900
BETUV N048.57.16.000 W003.07.20.000
BEVEN N045.41.19.000 E005.58.22.000
BEVOL N047.00.43.000 E000.55.51.000
BIBAX N050.03.27.000 E001.00.29.000
BIBOT N046.45.05.000 E006.24.37.000
BILGO N049.54.07.000 E003.26.50.000
BIRSO N047.49.56.800 W000.30.53.500
BIVLO N046.11.49.800 E006.15.13.800
BIVSO N045.09.58.000 E001.18.35.000
BLONA N045.00.30.900 E006.46.38.300
BOBMA N050.18.45.100 E003.08.53.100
BOBRI N046.50.18.000 W001.11.25.000
BOBSA N048.29.45.000 E000.38.54.000
BOBSI N046.19.26.600 E004.59.06.700
BODIL N048.31.23.400 W004.05.09.300
BOGVA N049.28.26.900 E001.28.01.400
BOKNO N047.02.49.000 E000.41.30.000
BOLGI N046.40.04.000 E005.56.18.000
BOLGU N045.55.56.000 W000.03.38.000
BOLLY N048.05.31.000 E004.09.04.000
BOXXO N049.26.56.000 E002.00.35.000
BUBLI N048.46.17.800 E004.09.00.000
BUGUS N045.00.00.000 E000.57.38.000
BULOL N046.02.44.700 E005.05.30.900
BULOX N048.33.00.000 W000.46.00.000
BUNOR N049.10.51.800 E002.34.24.700
BUNOT N048.03.09.300 W001.29.40.000
BUSIL N046.17.37.000 E004.43.19.000
BUSUK N048.51.19.000 E000.42.48.000
BUZIK N048.54.08.600 E002.39.13.900
BUZUC N048.02.03.000 E006.41.50.000
CACHI N047.04.00.000 E004.06.24.000
CANSU N049.00.00.000 W000.00.00.000
CERVI N045.58.12.000 E007.32.43.000
CHABY N047.47.48.000 E003.56.55.000
CHALA N045.21.19.000 E000.07.51.000
COHPA N048.26.39.600 E002.51.03.500
COLLO N045.56.35.000 E005.51.18.000
COQUE N047.04.45.000 W004.59.26.000
CREIL N049.15.19.000 E002.30.53.200
CUDOF N045.28.38.000 W002.58.17.000
DAMLO N047.23.45.000 W001.41.13.000
DANAR N048.04.04.000 E006.03.13.000
DANBO N045.55.18.300 E005.03.31.400
DEFAY N048.25.06.600 E005.07.07.700
DEGAX N046.03.55.400 W000.54.39.700
DEGEX N047.44.38.000 W003.09.24.000
DEKJA N047.31.43.000 W000.41.09.000
DEKOD N048.17.00.000 E002.06.00.000
DEKOR N049.00.26.000 W005.55.59.000
DELOM N050.18.53.000 E004.05.22.800
DELUG N047.47.12.100 E007.23.30.400
DEMOM N049.32.53.200 W000.07.51.000
DENEL N048.21.55.000 E007.53.03.000
DENIN N050.22.12.000 E003.25.48.000
DEPOM N047.19.04.000 E002.10.45.000
DEPUL N045.55.30.000 E005.29.40.000
DEREM N046.21.23.900 E006.10.34.500
DEROL N048.40.39.400 E002.06.56.100
DESAB N045.49.49.000 W002.57.33.000
DETUN N047.04.17.000 E004.38.52.000
DETUR N048.56.21.000 E000.57.11.000
DEVDI N047.44.20.000 E007.32.52.000
DEVIM N049.27.00.600 E003.37.56.000
DEVRO N047.29.44.000 E000.44.19.000
DEXEV N046.58.50.500 E002.10.37.400
DIBAG N045.47.22.000 E000.47.15.000
DIBES N047.30.27.000 E001.06.17.000
DIBEX N047.53.24.600 E006.02.45.700
DIBOT N048.36.39.800 E007.11.44.800
DIDAK N048.15.35.000 W000.15.00.000
DIDGO N048.07.31.800 E004.02.55.500
DIDOR N049.18.49.100 E003.16.55.400
DIDOS N048.39.12.000 E002.26.44.700
DIDRU N046.10.54.000 E000.01.52.000
DIKOL N049.08.15.000 E004.02.57.000
DILAB N048.02.42.100 E005.48.15.300
DILRA N045.51.00.000 W001.13.32.000
DIMAL N050.29.33.200 E001.21.58.800
DINAN N049.49.55.000 E005.19.53.000
DINIG N046.29.43.000 E005.53.26.000
DINIP N048.52.54.400 W001.50.44.300
DINOG N048.40.11.200 W001.44.49.500
DINOX N046.40.00.000 E006.07.11.000
DINVI N048.49.25.100 W001.59.29.200
DIPCE N049.06.02.500 E005.09.20.900
DIPER N050.20.45.000 E002.03.41.000
DIPIR N046.40.09.000 E005.35.35.000
DIPKA N051.02.30.200 E002.11.00.900
DIRBA N046.00.00.300 E004.30.09.400
DIRGO N048.50.05.200 W002.07.02.800
DIRMO N047.05.21.000 E002.11.32.000
DISAK N048.08.00.000 E002.07.54.000
DITAL N048.44.41.000 E000.53.21.000
DIVDA N047.57.33.000 E003.48.31.000
DIVED N049.13.08.300 E006.42.48.500
DIVOK N048.36.02.600 W003.47.46.500
DIVON N049.34.01.600 E001.51.07.000
DIXAD N046.52.12.000 W001.35.00.000
DOBEG N048.36.09.200 E007.24.04.800
DOBIK N048.36.49.800 E003.23.13.600
DODIM N049.15.45.600 E000.27.17.100
DOGOV N046.56.12.400 W001.46.29.100
DOLIN N048.19.21.900 E005.13.07.100
DOMIL N046.57.31.000 E006.18.53.000
DOMOD N047.51.46.000 E001.17.09.000
DOMOK N049.43.28.000 W002.06.18.000
DOMUS N048.53.17.100 E001.57.49.900
DOPAP N048.42.07.800 E002.14.34.700
DOPIM N045.15.40.100 E005.20.54.100
DOPIN N048.13.09.000 E002.45.17.000
DORDI N048.13.12.000 E002.47.31.000
DOSSE N048.38.40.000 E007.29.04.000
DOUCI N047.23.07.700 E007.02.02.700
DUCRA N048.57.53.700 E002.34.55.400
EBOMA N048.12.07.700 E003.12.22.000
EBOMO N047.49.16.000 W004.18.45.200
ECKAP N045.42.10.000 E001.33.08.000
ECRIM N045.33.57.800 W002.34.30.500
ECSAC N049.12.47.000 E006.54.07.000
EDJAR N049.23.49.300 E005.52.14.200
EDOPI N047.55.29.600 E006.34.08.100
EDOXA N048.17.27.000 E002.12.34.000
EGOZE N049.33.09.500 E002.29.22.100
EKDAP N045.18.49.000 W004.54.12.000
EKLEB N050.33.01.000 E001.45.15.000
EKMEP N045.55.41.400 E005.04.05.900
EKMOP N046.39.50.000 W001.28.45.000
EKNOS N046.13.29.000 E005.14.56.300
EKPAT N048.33.21.400 W002.34.01.600
EKRAS N048.53.58.000 W001.29.57.000
EKRIK N050.30.57.700 E002.45.26.700
EKTIR N049.08.36.000 E001.30.53.000
EKVEB N046.36.17.800 W005.49.15.400
ELBEG N047.41.49.000 E007.44.58.000
ELBOX N049.17.11.000 E000.48.28.000
ELDOP N049.45.24.600 W000.54.23.900
ELKUK N047.00.35.000 E000.53.52.000
ELNER N047.13.40.100 W001.45.10.900
ELNUX N050.26.28.900 E002.35.38.300
ELSED N049.16.52.800 E000.58.07.800
ELTEG N050.54.37.400 E001.47.28.900
ELTUD N050.26.36.500 E001.53.47.400
ELVES N049.47.47.000 E003.57.54.000
ELVET N049.07.25.000 E007.09.10.000
EMBUR N045.22.50.000 E003.31.27.000
EMGUT N046.03.56.000 E006.18.19.000
EMLUG N046.21.00.000 E002.50.00.000
EMMEF N045.01.05.700 E006.38.49.800
ENESO N046.12.02.000 E002.55.51.000
ENOBU N047.11.06.700 W000.40.17.700
ENOKI N047.47.49.000 W001.25.10.000
ENORI N049.28.28.900 E003.46.40.600
ENUPA N046.38.54.000 E003.27.10.000
EPAGO N048.47.58.000 E004.57.38.000
EPAPU N047.42.36.000 W001.24.43.000
EPATI N049.47.37.000 W001.04.56.000
EPEKA N048.47.59.000 W002.06.03.000
EPIKO N048.13.53.200 E006.41.12.900
EPIXO N046.43.22.900 W002.24.01.900
EPURI N048.27.25.600 E003.38.15.300
EQRAZ N048.53.15.100 E006.24.53.300
ERADI N049.10.04.100 E006.46.35.100
ERBIN N047.24.03.000 W002.19.33.000
ERCUT N047.26.25.000 W000.35.32.000
ERESI N049.39.11.600 E001.20.12.500
ERIGA N046.51.36.000 W002.21.47.000
ERIXU N048.05.00.000 E002.15.35.000
ERJAZ N047.14.23.000 W000.20.29.000
ERKAV N049.08.05.300 W000.03.39.000
ERLED N050.17.49.600 E003.52.49.700
ERNOD N050.24.05.200 E002.47.27.000
ERPOM N049.00.06.300 W005.14.27.300
ERTIP N048.08.04.000 E004.24.24.000
ERTOK N047.35.06.000 E002.17.28.000
ERTUN N048.48.24.200 W002.08.16.800
ERWAN N045.56.13.000 W005.13.17.000
ESAPI N045.53.23.600 E006.17.24.900
ESIDA N045.29.21.500 E004.23.18.100
ESIVI N050.23.43.000 E001.49.28.300
ESTOC N049.07.46.200 E002.23.37.900
ESUZE N045.21.00.500 W000.55.07.500
ETABU N045.38.16.600 E004.17.00.700
ETAMO N046.50.25.000 E002.20.15.000
ETENU N045.42.09.100 E001.36.04.800
ETIDO N045.05.30.000 E005.24.41.000
ETINO N048.53.15.000 E005.03.22.000
ETPAR N045.11.45.300 W000.51.42.400
ETPIL N047.03.52.000 E000.16.39.000
ETRAT N049.41.00.000 E000.09.48.000
ETREK N045.11.15.500 E004.38.19.400
ETUKU N046.22.21.400 E002.29.33.600
ETUSA N049.30.33.700 W001.09.27.800
EVBIS N046.00.41.000 E002.30.00.000
EVEDO N048.43.33.100 W003.58.10.400
EVLIK N048.30.15.400 E004.06.45.100
EVPOK N045.28.27.000 E001.22.34.500
EVREN N048.20.25.000 W002.00.53.900
EVRUK N049.04.43.000 E000.41.30.000
EVVEQ N047.32.13.000 W000.54.04.000
EXEKO N050.09.42.600 E003.48.09.100
EXHOM N049.12.51.200 E006.33.56.500
FAGOR N045.54.48.100 E004.51.53.200
FAMEN N049.58.30.000 E004.34.00.000
FECHO N047.54.43.000 W001.28.16.000
FEJAC N048.46.32.000 W002.34.15.000
FIFUC N048.27.32.700 W002.31.31.200
FOUCO N045.45.17.000 E000.28.50.000
FREMM N048.58.58.000 E005.59.01.000
FUJTI N046.15.58.700 W002.52.43.100
FUZKA N048.32.12.000 E003.13.00.000
GAGSO N046.47.54.900 W002.38.33.200
GALBO N048.50.17.000 W000.15.00.000
GALOF N045.56.14.600 W001.39.44.300
GANPU N049.19.04.800 W000.13.14.800
GANTO N049.23.50.000 W004.58.52.000
GATMO N046.02.15.000 W003.42.48.000
GEBKI N049.32.46.400 E005.27.04.500
GELTA N048.30.17.200 E004.01.20.300
GEMLA N045.34.20.000 E006.20.23.000
GERMA N048.40.39.900 E005.42.53.000
GERVA N046.03.27.500 E002.52.27.500
GIGEX N046.38.07.500 W002.08.34.200
GIGOT N047.38.45.000 W001.26.27.000
GIGUS N045.23.23.200 E006.26.29.800
GIKEL N049.46.43.200 E002.25.04.100
GILIR N047.03.48.000 E006.14.21.000
GILRA N048.51.48.000 W000.43.53.000
GILTO N049.13.17.000 E001.45.36.000
GILUX N047.43.27.000 E001.44.35.000
GIMAT N045.29.07.700 E003.35.03.600
GIMER N049.21.55.800 E003.58.25.800
GINON N047.10.00.000 E000.10.48.000
GIPEG N048.44.31.000 E004.53.54.000
GIPEX N047.45.27.000 E002.37.24.000
GIPNO N045.33.35.600 E005.31.44.900
GIRAR N049.44.52.200 E002.34.37.400
GIRED N045.43.33.900 E005.13.53.500
GIRKO N046.10.12.900 W000.54.12.400
GIRKU N046.03.05.300 E005.54.17.100
GIRVI N050.46.43.700 E003.03.56.100
GISOR N049.15.48.000 E001.48.06.000
GITAN N049.22.37.000 E004.02.05.000
GIVOR N048.39.30.600 E006.23.29.100
GIVRI N047.17.31.000 E005.20.32.000
GIZOQ N049.02.54.900 E002.59.03.200
GODAN N047.38.31.000 W001.57.36.000
GODEM N046.03.07.000 W002.15.00.000
GODIX N048.21.45.000 W000.02.33.000
GODOV N049.09.37.800 E000.22.22.200
GOFOG N046.01.04.700 E004.21.08.300
GOGRU N048.36.19.500 W004.24.23.900
GOGUX N048.14.30.800 E002.44.14.300
GOLEB N046.03.06.000 E006.33.45.000
GOMDA N048.02.31.200 W001.29.47.700
GOMET N045.21.36.700 E005.29.16.800
GONEK N048.07.12.000 E000.36.12.000
GONOX N049.38.11.600 E001.55.21.500
GONPO N045.42.12.100 E000.31.17.500
GOPIN N047.02.32.000 W003.40.51.000
GORET N047.57.08.000 E004.01.53.000
GOTED N047.31.30.000 E005.27.25.000
GOTRO N049.35.15.000 E001.12.49.000
GOVNA N045.52.41.400 E005.34.10.300
GUERE N046.11.24.000 E002.05.22.000
GURGO N046.20.56.000 E003.49.46.000
GUSON N046.28.27.000 E001.28.40.000
HOMBO N047.44.16.300 E007.31.34.600
IBABA N046.52.38.000 E005.25.15.000
IBERA N049.30.30.000 E006.16.30.000
IBERU N050.35.48.000 E002.27.24.000
IBISU N047.05.32.200 W004.38.19.600
IBLEX N048.07.19.000 W002.37.36.000
IBNIT N046.17.00.000 E003.51.51.000
IBODI N046.57.13.000 E005.54.00.000
IBRIG N050.49.19.300 E001.55.02.900
IBSUS N047.30.52.700 W001.07.02.500
IBUMO N049.15.41.000 W000.38.25.900
ICAFE N049.04.03.000 E005.04.35.000
IDAVO N046.14.50.000 E004.57.49.000
IDBOV N045.51.16.900 W003.19.34.800
IDLAB N049.31.45.700 E001.22.16.900
IDNUN N047.06.26.100 W002.33.11.400
IDOCU N048.27.35.000 W004.23.09.000
IDOKO N050.20.26.300 E003.52.22.600
IDRIK N047.35.59.000 W003.38.29.000
IFFEN N048.07.19.000 W002.05.10.000
IFKIF N049.36.00.000 W000.08.00.000
ILECO N048.54.00.000 W004.45.50.000
ILTEC N048.53.25.800 W005.59.32.200
IMZID N048.55.58.000 W001.29.57.000
INBAB N045.34.25.000 W003.48.36.000
INCEF N045.31.06.000 W004.57.38.000
INCUS N045.51.17.100 E006.02.37.600
INGOR N049.21.52.000 W000.15.00.000
INGUV N045.31.46.800 E005.07.00.300
INKUD N049.30.53.300 E003.01.59.800
INMOC N049.19.22.400 E002.24.51.100
INNOV N048.21.58.000 W003.36.09.000
INPAX N049.24.29.000 E001.10.47.000
INPER N048.23.37.000 E001.43.35.000
INROX N045.38.34.800 W003.20.15.600
INRUN N048.59.52.200 E003.04.44.400
INSEB N048.03.04.300 E003.31.33.200
INSOG N048.03.27.000 E006.40.58.000
INTEM N047.56.47.000 E007.16.52.000
IPNOB N049.35.44.000 E003.33.05.000
IPSOG N049.05.19.800 W000.16.06.300
IRBAL N049.41.42.300 E002.37.36.800
IRDIB N049.28.16.300 E001.02.00.100
ITAFI N046.37.10.000 W005.34.53.000
IVDEV N047.49.25.900 E007.21.56.400
IXILU N047.44.25.000 E006.02.29.000
IXINI N049.07.02.000 W000.15.00.000
IXIVO N049.46.39.800 E000.16.31.400
IXUDI N047.19.32.300 E007.42.43.900
IZWIV N045.00.00.000 E004.11.00.000
JARNY N049.11.36.000 E006.06.00.000
JAVVU N047.19.56.200 E005.49.56.000
JOCUZ N047.39.55.800 E005.27.16.900
KASON N047.33.30.000 E004.46.12.000
KELON N048.48.57.000 E003.52.25.000
KELUD N048.48.03.800 E002.23.40.100
KELUK N046.33.20.000 E005.41.08.000
KEMUR N046.57.39.100 W002.17.09.700
KENAP N049.57.31.000 E004.05.38.000
KENTY N046.25.36.700 E005.12.45.700
KENZO N045.47.38.400 E005.33.09.400
KEPER N047.48.22.000 E000.16.26.000
KERAK N047.49.20.100 W003.09.07.400
KEREB N047.35.29.000 W004.31.29.000
KERVE N048.36.02.700 W003.47.46.000
KESAX N050.04.14.800 E001.40.26.700
KETEX N048.08.00.000 E002.21.35.000
KETIK N049.19.24.000 W001.52.23.000
KICQA N048.39.20.300 E005.05.40.000
KIHVI N049.11.57.500 E002.18.54.500
KINES N045.19.53.000 E006.45.19.000
KINNI N046.05.20.000 E006.12.42.100
KOCBU N048.10.36.200 W004.31.06.700
KOGAS N045.48.30.000 E006.23.27.000
KOLEK N046.36.46.000 W005.24.29.000
KOLIG N046.23.31.000 W005.20.48.000
KOLIV N049.17.59.900 E001.34.14.000
KOPIP N046.55.51.000 W007.30.14.000
KOPOR N049.30.51.000 E002.25.17.100
KORER N047.41.06.000 W002.30.03.000
KORIQ N049.43.31.000 E001.39.17.000
KOTAP N048.17.00.000 E002.18.00.000
KOTIS N047.13.48.000 E002.48.09.000
KOTUN N048.43.27.900 E003.52.16.200
KOVAK N047.59.35.000 E000.50.48.000
KOVAR N046.23.31.000 E005.49.01.000
KOVIN N049.29.09.000 E003.06.23.000
KUBOM N047.26.10.000 E006.56.45.000
KUDIN N049.41.35.000 E005.15.46.000
KUDUP N046.13.48.100 E005.34.33.700
KUKOR N046.32.30.600 E003.07.45.000
KUPOL N047.37.14.000 E004.33.22.000
KURIS N047.35.59.000 W001.31.03.000
KUSEK N047.42.22.000 E002.34.16.000
KUTAN N047.48.27.000 E004.15.23.000
KUTEX N050.35.52.000 E003.07.11.000
KUVEB N049.38.33.400 E000.14.42.800
KUVIV N048.23.29.000 E002.42.06.000
LABAL N046.01.39.000 E003.21.18.000
LABIG N048.44.58.400 E002.45.32.900
LABUL N048.17.57.000 W001.53.22.000
LADAV N048.17.33.400 W000.53.50.300
LAFOP N045.53.40.000 W006.32.02.000
LAKOB N046.53.00.000 E003.05.46.000
LALKU N048.11.47.500 W001.04.56.100
LALMO N047.49.22.400 W003.09.32.000
LALUX N048.17.11.000 E002.24.32.000
LAMDO N045.33.20.000 E006.09.09.000
LAMUR N046.34.46.800 E007.13.53.000
LAMUT N047.07.06.000 E002.59.05.000
LANOM N048.17.16.200 W001.02.25.000
LANVI N048.18.42.000 E005.47.50.000
LAPAT N045.30.01.000 E005.33.29.000
LAPAX N048.29.54.700 E002.23.32.700
LAPEX N047.00.00.000 W008.00.00.000
LAPOX N048.06.52.400 W001.57.17.800
LAPUB N045.15.42.600 E003.37.13.100
LARDU N049.03.15.200 E000.31.40.300
LAROK N046.42.39.000 W001.26.01.000
LARON N046.13.39.000 E002.11.54.000
LARPO N049.06.29.800 E002.35.22.600
LASAT N048.09.32.200 E006.41.02.900
LASEV N045.58.52.000 E002.15.41.000
LASIV N048.54.03.300 E004.13.37.000
LASUN N047.24.50.500 E007.32.14.700
LASVO N045.02.21.000 E001.14.29.000
LATAM N045.02.01.900 E004.14.20.800
LATGO N048.28.49.000 W000.15.00.000
LATRA N048.05.00.000 E002.31.00.000
LAULY N048.09.26.000 E003.42.08.000
LAZUZ N045.29.30.300 E006.01.02.100
LEBRI N045.48.40.000 W002.32.01.000
LECAR N045.41.58.100 E001.00.57.800
LEGMO N047.43.58.000 W004.00.30.000
LEGRI N046.06.57.000 E004.19.06.000
LEKSO N045.03.56.800 E003.59.58.500
LEMAR N049.03.47.000 W000.37.22.000
LEMIN N046.31.00.200 E003.03.12.600
LEMKA N046.37.44.000 W000.15.00.000
LENSU N047.57.54.000 W002.57.44.000
LEQOS N048.54.02.500 E002.39.20.900
LERDU N046.50.26.900 E005.49.41.700
LERGA N045.15.26.200 E003.45.00.600
LERGI N045.00.00.000 E000.30.00.000
LESDO N049.48.30.000 E003.19.05.000
LESGA N048.53.17.900 E000.48.17.800
LESPI N046.06.48.600 E003.57.28.000
LIMGO N049.38.14.000 E006.16.54.000
LIMTA N047.49.05.300 E001.50.51.000
LINAK N045.31.46.000 E001.09.11.000
LIPNI N049.31.48.000 E005.50.45.000
LIQID N045.08.34.000 E004.00.06.400
LIRKO N046.34.15.400 E005.48.51.500
LIRMA N047.41.56.100 W003.42.55.900
LIRSO N048.42.36.800 E003.19.55.800
LISEU N049.06.12.000 E000.24.07.000
LISMO N046.52.14.000 E005.46.41.000
LODKO N045.47.15.700 W000.05.34.900
LOGNI N046.14.35.200 E005.05.34.200
LOPSU N048.20.25.200 E007.17.28.100
LORNI N049.25.09.900 E003.27.05.000
LOUPY N048.52.11.600 E005.05.06.000
LUGEN N046.35.00.000 W000.51.40.000
LUKEM N049.04.30.000 W001.27.22.000
LUKID N046.44.31.000 E005.32.04.000
LUKIP N049.18.57.000 E000.29.47.000
LUKUB N045.19.32.000 W002.56.58.000
LULID N047.07.29.600 W001.37.56.200
LULIP N049.18.17.100 W000.04.33.900
LUMAN N047.56.22.000 E000.24.48.000
LUMEL N047.24.26.000 E007.09.14.000
LUMEV N048.28.10.200 W004.26.37.300
LUMIL N050.25.11.000 E002.58.10.000
LUMOG N049.16.30.100 W001.11.32.300
LUPAM N048.56.17.000 E003.32.58.000
LUPEN N048.26.06.200 E007.44.01.000
LURAG N045.31.40.100 E007.05.19.600
LUREN N048.01.33.000 E003.54.50.000
LUSAR N046.40.08.000 E005.10.46.100
LUSON N046.30.00.000 W001.21.03.000
LUTAS N047.29.04.000 W002.34.43.000
LUTAX N049.32.58.400 E005.48.58.100
LUTIL N047.35.47.000 E000.05.10.000
LUVAL N048.17.38.000 E005.09.13.000
LUVOB N045.47.00.700 E005.39.31.500
LUVOP N048.20.18.000 W001.44.42.000
LUXAN N045.22.29.000 E005.07.58.000
LUXEL N049.20.39.800 E000.56.09.500
MABES N046.20.24.800 E005.15.54.200
MADEK N048.30.09.000 W006.59.20.000
MADIV N046.39.26.000 E003.55.25.000
MADOT N045.43.48.200 E004.30.50.400
MAGIP N050.45.12.400 E002.48.20.000
MAKOT N049.10.20.000 E007.02.22.000
